x_mm,deflection_mm,moment_Nmm,shear_N,stress_MPa
1050.00000000,-0.23906884,-2624999.99870580,-2499.99999945,6.59216474
1080.00000000,-0.24311709,-2699999.99868941,-2499.99999943,6.78051230
1110.00000000,-0.24693022,-2774999.99867022,-2499.99999937,6.96885987
1140.00000000,-0.25050169,-2849999.99866217,-2499.99999976,7.15720743
1170.00000000,-0.25382498,-2924999.99865177,-2499.99999984,7.34555499
1200.00000000,-0.25689355,-2999999.99864823,-2499.99999989,7.53390256
1230.00000000,-0.25970088,-3074999.99863511,-2499.99999948,7.72225012
1260.00000000,-0.26224042,-3149999.99863708,-2499.99999994,7.91059769
1290.00000000,-0.26450566,-3224999.99864146,-2500.00000031,8.09894525
1320.00000000,-0.26649005,-3299999.99865016,-2500.00000037,8.28729281
1350.00000000,-0.26818707,-3374999.99865514,-2500.00000007,8.47564038
1380.00000000,-0.26959019,-3449999.99867626,-2500.00000060,8.66398794
1410.00000000,-0.27069287,-3524999.99868083,-2500.00000019,8.85233551
1440.00000000,-0.27148859,-3599999.99869137,-2500.00000022,9.04068307
1470.00000000,-0.27197081,-3674999.99869728,-2500.00000007,9.22903063
1500.00000000,-0.27213300,-3749999.99870819,-2500.00000030,9.41737820
1530.00000000,-0.27197081,-3674999.99872171,2499.99999945,9.22903063
1560.00000000,-0.27148859,-3599999.99871448,2500.00000010,9.04068307
1590.00000000,-0.27069287,-3524999.99872409,2499.99999987,8.85233551
1620.00000000,-0.26959019,-3449999.99873742,2499.99999977,8.66398794
1650.00000000,-0.26818707,-3374999.99875361,2499.99999949,8.47564038
1680.00000000,-0.26649005,-3299999.99875912,2499.99999993,8.28729281
1710.00000000,-0.26450566,-3224999.99877664,2499.99999930,8.09894525
1740.00000000,-0.26224042,-3149999.99879444,2499.99999928,7.91059769
1770.00000000,-0.25970088,-3074999.99882677,2499.99999893,7.72225012
1800.00000000,-0.25689355,-2999999.99884430,2499.99999928,7.53390256
1830.00000000,-0.25382498,-2924999.99887049,2499.99999930,7.34555499
1860.00000000,-0.25050169,-2849999.99888095,2499.99999948,7.15720743
1890.00000000,-0.24693022,-2774999.99890906,2499.99999937,6.96885987
1920.00000000,-0.24311709,-2699999.99892932,2499.99999920,6.78051230
1950.00000000,-0.23906884,-2624999.99894291,2499.99999948,6.59216474
1980.00000000,-0.23479200,-2549999.99896401,2499.99999939,6.40381717
2010.00000000,-0.23029310,-2474999.99899292,2499.99999894,6.21546961
2040.00000000,-0.22557866,-2399999.99900353,2499.99999961,6.02712205
2070.00000000,-0.22065523,-2324999.99901962,2499.99999958,5.83877448
2100.00000000,-0.21552934,-2249999.99904352,2499.99999925,5.65042692
2130.00000000,-0.21020750,-2174999.99905646,2499.99999946,5.46207935
2160.00000000,-0.20469627,-2099999.99907780,2499.99999933,5.27373179
2190.00000000,-0.19900215,-2024999.99910009,2499.99999917,5.08538423
2220.00000000,-0.19313170,-1949999.99911475,2499.99999936,4.89703666
2250.00000000,-0.18709144,-1874999.99913961,2499.99999925,4.70868910
2280.00000000,-0.18088789,-1799999.99915922,2499.99999928,4.52034153
2310.00000000,-0.17452760,-1724999.99918532,2499.99999919,4.33199397
2340.00000000,-0.16801709,-1649999.99921036,2499.99999918,4.14364641
2370.00000000,-0.16136290,-1574999.99924004,2499.99999901,3.95529884
2400.00000000,-0.15457154,-1499999.99926990,2499.99999885,3.76695128
2430.00000000,-0.14764957,-1424999.99930584,2499.99999884,3.57860371
2460.00000000,-0.14060350,-1349999.99934000,2499.99999888,3.39025615
2490.00000000,-0.13343987,-1274999.99937797,2499.99999872,3.20190859
2520.00000000,-0.12616521,-1199999.99941003,2499.99999886,3.01356102
2550.00000000,-0.11878605,-1124999.99944437,2499.99999887,2.82521346
2580.00000000,-0.11130893,-1049999.99947560,2499.99999896,2.63686590
2610.00000000,-0.10374037,-974999.99951220,2499.99999876,2.44851833
2640.00000000,-0.09608690,-899999.99954998,2499.99999879,2.26017077
2670.00000000,-0.08835505,-824999.99958849,2499.99999871,2.07182320
2700.00000000,-0.08055137,-749999.99962723,2499.99999869,1.88347564
2730.00000000,-0.07268237,-674999.99966455,2499.99999876,1.69512808
2760.00000000,-0.06475459,-599999.99970245,2499.99999881,1.50678051
2790.00000000,-0.05677456,-524999.99973917,2499.99999874,1.31843295
2820.00000000,-0.04874882,-449999.99977827,2499.99999873,1.13008538
2850.00000000,-0.04068388,-374999.99981654,2499.99999872,0.94173782
2880.00000000,-0.03258629,-299999.99985409,2499.99999875,0.75339026
2910.00000000,-0.02446258,-224999.99989140,2499.99999878,0.56504269
2940.00000000,-0.01631927,-149999.99992776,2499.99999881,0.37669513
2970.00000000,-0.00816290,-74999.99996388,2499.99999880,0.18834756
3000.00000000,0.00000000,-0.00000000,2499.99999881,0.00000000
